N,data size [byte],I/O method,latency (write) [s],latency (read) [s],bandwidth (write) [byte/s],bandwidth (read) [byte/s],filename
1024,3.686400e+04,cufile,6.198500e-05,1.500800e-05,5.947245e+08,2.456290e+09,dat/7384c205-1f0e-424d-a75b-39135ed4ea52_cufile.bin
2048,7.372800e+04,cufile,7.347200e-05,1.683200e-05,1.003484e+09,4.380228e+09,dat/11c252fd-6928-439d-8cc4-06217575b3c9_cufile.bin
4096,1.474560e+05,cufile,8.153600e-05,1.884800e-05,1.808477e+09,7.823430e+09,dat/9f118164-b295-425d-8011-a7f0609af1a4_cufile.bin
8192,2.949120e+05,cufile,9.292800e-05,2.499200e-05,3.173554e+09,1.180026e+10,dat/27aa437c-4338-4172-b997-4ab667b4f3df_cufile.bin
16384,5.898240e+05,cufile,1.207360e-04,3.705600e-05,4.885237e+09,1.591710e+10,dat/7caea8a1-9f67-44d5-ad89-7265e3001d4b_cufile.bin
32768,1.179648e+06,cufile,1.755520e-04,7.120000e-05,6.719650e+09,1.656809e+10,dat/93b11703-426e-41ac-8876-3b87440f582c_cufile.bin
65536,2.359296e+06,cufile,2.773770e-04,1.299200e-04,8.505738e+09,1.815961e+10,dat/9624d903-1833-4454-8f91-bffbd2681a35_cufile.bin
131072,4.718592e+06,cufile,4.550090e-04,2.427210e-04,1.037033e+10,1.944039e+10,dat/32e818f8-66a3-4462-a28e-9d1787650d9b_cufile.bin
262144,9.437184e+06,cufile,8.502100e-04,4.321290e-04,1.109983e+10,2.183881e+10,dat/09a08d0b-956a-4cf4-8d0d-2e81db564f37_cufile.bin
524288,1.887437e+07,cufile,1.566500e-03,8.713940e-04,1.204875e+10,2.165997e+10,dat/34bedaa7-4c5c-45cc-b2cb-8d88458bc3b2_cufile.bin
1048576,3.774874e+07,cufile,3.072104e-03,1.752837e-03,1.228758e+10,2.153579e+10,dat/fe9a4dc8-a1ba-42dc-8120-d5a6e4ba6ac1_cufile.bin
2097152,7.549747e+07,cufile,6.337969e-03,3.931531e-03,1.191193e+10,1.920307e+10,dat/902f6556-7581-458c-92cf-f5d3f6b2a837_cufile.bin
4194304,1.509949e+08,cufile,1.242672e-02,8.838265e-03,1.215083e+10,1.708423e+10,dat/37857f90-3881-4851-b238-1a69210d92de_cufile.bin
8388608,3.019899e+08,cufile,2.509453e-02,1.863752e-02,1.203409e+10,1.620333e+10,dat/cfd47d18-ef1f-427e-841e-31f2d9acbdf9_cufile.bin
16777216,6.039798e+08,cufile,5.109067e-02,3.901976e-02,1.182172e+10,1.547882e+10,dat/8b512c1e-26c5-461f-abd2-c34d55c3d2b5_cufile.bin
33554432,1.207960e+09,cufile,1.078650e-01,7.437723e-02,1.119881e+10,1.624099e+10,dat/cfa3b167-9a2f-49ac-a120-96ec6bfe026b_cufile.bin
67108864,2.415919e+09,cufile,1.984070e-01,1.495015e-01,1.217658e+10,1.615984e+10,dat/c0327534-d3e7-46fc-9455-b87039142c08_cufile.bin
134217728,4.831838e+09,cufile,3.763014e-01,3.000689e-01,1.284034e+10,1.610243e+10,dat/016f0c82-082e-4478-a411-1419cf58edc2_cufile.bin
1024,3.686400e+04,direct,6.167729e-03,5.398127e-03,5.976916e+06,6.829035e+06,dat/3407f209-9813-4fb5-90b4-f56bb8407dcc_direct.bin
2048,7.372800e+04,direct,8.952095e-02,2.757959e-03,8.235838e+05,2.673281e+07,dat/d0961f49-c7a7-402c-a776-9696f082301c_direct.bin
4096,1.474560e+05,direct,3.900789e-01,3.328489e-03,3.780158e+05,4.430118e+07,dat/6e5b117b-edf1-4950-a98c-737974fb818b_direct.bin
8192,2.949120e+05,direct,1.902934e-01,9.927390e-04,1.549775e+06,2.970690e+08,dat/c1547395-779a-41f6-bbda-3ad4079db3f2_direct.bin
16384,5.898240e+05,direct,3.347530e-04,2.695690e-04,1.761968e+09,2.188026e+09,dat/f44fcd0f-6acf-4aee-b167-9493846bf998_direct.bin
32768,1.179648e+06,direct,4.299860e-04,3.909770e-04,2.743457e+09,3.017180e+09,dat/bd89d42e-9c74-4982-bb49-0a42abd9e8d4_direct.bin
65536,2.359296e+06,direct,6.644490e-04,7.184340e-04,3.550756e+09,3.283943e+09,dat/8a2bc6ad-0582-478a-8b89-d14b56cba99b_direct.bin
131072,4.718592e+06,direct,1.147268e-03,1.404931e-03,4.112894e+09,3.358593e+09,dat/b60f17fb-153e-4089-b6b0-7efd6cc9f218_direct.bin
262144,9.437184e+06,direct,3.066185e-03,5.283566e-03,3.077826e+09,1.786139e+09,dat/c2464f58-520b-44ba-a485-7584f0a143eb_direct.bin
524288,1.887437e+07,direct,6.488594e-03,6.928883e-03,2.908853e+09,2.724013e+09,dat/4d54a6a7-53bc-43f4-ac20-646354c0213b_direct.bin
1048576,3.774874e+07,direct,1.404820e-02,1.039468e-02,2.687087e+09,3.631542e+09,dat/195f8a98-256e-4a8e-8c12-75eab2ce1970_direct.bin
2097152,7.549747e+07,direct,2.823233e-02,1.692257e-02,2.674149e+09,4.461347e+09,dat/57e4f5b1-4995-4d29-a508-40a8a5bba8a7_direct.bin
4194304,1.509949e+08,direct,5.624844e-02,3.158358e-02,2.684429e+09,4.780806e+09,dat/e554773b-388d-4e2e-995c-4653434cc801_direct.bin
8388608,3.019899e+08,direct,1.131186e-01,6.064705e-02,2.669675e+09,4.979466e+09,dat/c64683cc-79d4-440b-9bd6-62ee2b2a2698_direct.bin
16777216,6.039798e+08,direct,2.327007e-01,1.191616e-01,2.595522e+09,5.068577e+09,dat/e66382e7-e1b4-4d60-871c-34e958b690df_direct.bin
33554432,1.207960e+09,direct,4.580762e-01,2.361262e-01,2.637028e+09,5.115738e+09,dat/65f80a13-1941-44d5-b0fd-ee8bf7840138_direct.bin
67108864,2.415919e+09,direct,9.219026e-01,1.189625e+00,2.620580e+09,2.030825e+09,dat/ea1641ef-15bf-460b-a82e-6a22a266fac6_direct.bin
1024,3.686400e+04,posix,1.798400e-05,4.032000e-06,2.049822e+09,9.142857e+09,dat/4eedea8b-1568-43cb-8f3d-39baf41a3d26_posix.bin
2048,7.372800e+04,posix,2.793600e-05,5.664000e-06,2.639175e+09,1.301695e+10,dat/b412808f-a4e6-4be1-8811-8895151d765e_posix.bin
4096,1.474560e+05,posix,3.532800e-05,7.135000e-06,4.173913e+09,2.066657e+10,dat/b3b8355a-337b-4bcb-b269-1fa74c1e2670_posix.bin
8192,2.949120e+05,posix,5.315100e-05,1.075200e-05,5.548569e+09,2.742857e+10,dat/fc1cc264-c9b8-49d9-abd2-7aecb241dbfb_posix.bin
16384,5.898240e+05,posix,8.972700e-05,2.467200e-05,6.573540e+09,2.390661e+10,dat/c844d014-ef2e-4b0c-a82e-bbd67a63415c_posix.bin
32768,1.179648e+06,posix,1.651200e-04,6.131100e-05,7.144186e+09,1.924040e+10,dat/79384e12-986b-4a98-b9f8-8086cb6d2807_posix.bin
65536,2.359296e+06,posix,3.220790e-04,1.331200e-04,7.325209e+09,1.772308e+10,dat/bb14fa46-d97a-482d-a92a-4edc7d4a5ab4_posix.bin
131072,4.718592e+06,posix,5.372140e-04,2.230720e-04,8.783449e+09,2.115278e+10,dat/dc8bd1da-cb1c-4154-9e24-88c85bda325a_posix.bin
262144,9.437184e+06,posix,1.033181e-03,4.611190e-04,9.134105e+09,2.046583e+10,dat/b013ca14-fcd2-481c-9183-27b6709553df_posix.bin
524288,1.887437e+07,posix,2.490458e-03,9.206060e-04,7.578673e+09,2.050211e+10,dat/e25b5e2b-3246-46a8-8929-7b32e6cb89c5_posix.bin
1048576,3.774874e+07,posix,4.238966e-03,1.907323e-03,8.905175e+09,1.979148e+10,dat/72915b93-0410-47aa-9a96-0ef5a2de5dcd_posix.bin
2097152,7.549747e+07,posix,7.819565e-03,4.219926e-03,9.654945e+09,1.789071e+10,dat/d4f3e12b-cd2f-4223-997b-0c277332d6d6_posix.bin
4194304,1.509949e+08,posix,1.315658e-02,9.098633e-03,1.147677e+10,1.659534e+10,dat/ce26beb8-d1d2-4180-8e22-78c10a46a846_posix.bin
8388608,3.019899e+08,posix,3.002015e-02,1.842763e-02,1.005957e+10,1.638788e+10,dat/fded28b5-0a0a-47d4-8950-13d49a339da8_posix.bin
16777216,6.039798e+08,posix,5.435494e-02,3.687393e-02,1.111177e+10,1.637959e+10,dat/0a8dfe7d-c4ae-40e3-aa51-c4bbe87622dd_posix.bin
33554432,1.207960e+09,posix,9.991745e-02,7.426244e-02,1.208958e+10,1.626609e+10,dat/ad93af73-5fbd-4f75-ba69-72fbd50449af_posix.bin
67108864,2.415919e+09,posix,1.993727e-01,1.489265e-01,1.211760e+10,1.622223e+10,dat/03af9a10-2cf9-4f86-b465-ca2f1d9ba037_posix.bin
