VFD,skip,N,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) [s],latency (read) [s],bandwidth (write) [byte/s],bandwidth (read) [byte/s],filename
gds,false,1024,3.686400e+04,4096,4096,4096,1.179202e-03,1.994560e-04,3.126182e+07,1.848227e+08,dat/ef88bf0c-7390-4cab-b33f-795d4b660ef5.h5
gds,false,2048,7.372800e+04,4096,4096,4096,3.126730e-04,2.853770e-04,2.357991e+08,2.583530e+08,dat/10a0ffae-b809-4066-bc1a-152bd434d8f0.h5
gds,false,4096,1.474560e+05,4096,4096,4096,3.479050e-04,2.533440e-04,4.238398e+08,5.820387e+08,dat/d656503f-1888-47df-893b-649260321496.h5
gds,false,8192,2.949120e+05,4096,4096,4096,3.483530e-04,2.476810e-04,8.465895e+08,1.190693e+09,dat/552adcb3-5343-4414-b190-3268c8ae9fc2.h5
gds,false,16384,5.898240e+05,4096,4096,4096,4.152650e-04,2.892170e-04,1.420356e+09,2.039382e+09,dat/97bd0ac0-2c37-4e95-9b7f-7feae1a79c1c.h5
gds,false,32768,1.179648e+06,4096,4096,4096,4.466250e-04,3.294410e-04,2.641249e+09,3.580756e+09,dat/088d8dda-8cf8-448d-8629-455e43fbf084.h5
gds,false,65536,2.359296e+06,4096,4096,4096,5.687690e-04,3.732490e-04,4.148074e+09,6.320971e+09,dat/b153ab1f-1236-4b10-a8de-51b0c2667547.h5
gds,false,131072,4.718592e+06,4096,4096,4096,7.580500e-04,5.332490e-04,6.224645e+09,8.848759e+09,dat/2a940359-0161-4125-80f2-facd3aeaa98b.h5
gds,false,262144,9.437184e+06,4096,4096,4096,1.231043e-03,8.383700e-04,7.666007e+09,1.125659e+10,dat/d72cd1dc-a152-4192-a15d-0a554416fb13.h5
gds,false,524288,1.887437e+07,4096,4096,4096,2.420518e-03,1.342595e-03,7.797657e+09,1.405812e+10,dat/ab77b699-4906-4037-85d8-a33988f251f1.h5
gds,false,1048576,3.774874e+07,4096,4096,4096,3.828520e-03,2.505637e-03,9.859877e+09,1.506552e+10,dat/e24ef994-c22e-41a9-8700-580a2508f3b2.h5
gds,false,2097152,7.549747e+07,4096,4096,4096,7.030544e-03,4.587178e-03,1.073850e+10,1.645837e+10,dat/a9ea7e0c-5c0f-40b2-aa2e-84aaa04b0877.h5
gds,false,4194304,1.509949e+08,4096,4096,4096,1.405299e-02,9.268585e-03,1.074468e+10,1.629105e+10,dat/59b818d9-a4c6-442f-a16e-3533512f3e87.h5
gds,false,8388608,3.019899e+08,4096,4096,4096,2.843741e-02,1.929858e-02,1.061946e+10,1.564829e+10,dat/5b2e05a1-18de-4f82-b033-1769a228525e.h5
gds,false,16777216,6.039798e+08,4096,4096,4096,6.022574e-02,3.807268e-02,1.002860e+10,1.586386e+10,dat/c1cfc32b-7542-4db3-9c51-76c0f84550c5.h5
gds,false,33554432,1.207960e+09,4096,4096,4096,1.196269e-01,7.567320e-02,1.009772e+10,1.596284e+10,dat/8afd364c-8eec-4031-a0b9-d43a4b58587d.h5
gds,false,67108864,2.415919e+09,4096,4096,4096,2.241784e-01,1.513157e-01,1.077677e+10,1.596608e+10,dat/2000b92a-129e-4c4a-abdb-03a62257c230.h5
gds,false,134217728,4.831838e+09,4096,4096,4096,4.375332e-01,3.022442e-01,1.104336e+10,1.598654e+10,dat/c0668afb-703a-40ad-b3a1-df9b4011f076.h5
gds,false,1024,3.686400e+04,4096,4096,4096,3.097610e-04,2.481300e-04,1.190079e+08,1.485673e+08,dat/ab59c1eb-7646-4016-beff-92813caeeff3.h5
gds,false,2048,7.372800e+04,4096,4096,4096,3.019850e-04,2.624020e-04,2.441446e+08,2.809735e+08,dat/7015551f-13d4-4a8c-a5f9-c26f09594715.h5
gds,false,4096,1.474560e+05,4096,4096,4096,3.392650e-04,2.395850e-04,4.346337e+08,6.154642e+08,dat/1118de0e-9d69-4692-9b81-10d6b3a41012.h5
gds,false,8192,2.949120e+05,4096,4096,4096,3.389770e-04,2.418570e-04,8.700059e+08,1.219365e+09,dat/c89bfed4-de97-43c2-b621-3cf094f96c95.h5
gds,false,16384,5.898240e+05,4096,4096,4096,4.365460e-04,2.603210e-04,1.351115e+09,2.265757e+09,dat/e2fb655f-c6b1-4bbd-a06f-38e56133057c.h5
gds,false,32768,1.179648e+06,4096,4096,4096,4.859220e-04,2.864650e-04,2.427649e+09,4.117948e+09,dat/f55931a8-0e21-4aac-8763-ce55797d319a.h5
gds,false,65536,2.359296e+06,4096,4096,4096,6.649310e-04,3.854420e-04,3.548182e+09,6.121014e+09,dat/fc6a5f5a-476c-4ad2-905e-70ebe0089c1b.h5
gds,false,131072,4.718592e+06,4096,4096,4096,8.935400e-04,5.456340e-04,5.280784e+09,8.647907e+09,dat/f51010ed-5281-4ceb-a0b3-b9df7e88112b.h5
gds,false,262144,9.437184e+06,4096,4096,4096,1.643303e-03,8.553000e-04,5.742814e+09,1.103377e+10,dat/f91c3633-e874-4438-a25f-69447fe42cf2.h5
gds,false,524288,1.887437e+07,4096,4096,4096,2.845132e-03,1.396134e-03,6.633916e+09,1.351902e+10,dat/6e77bab7-1929-497c-8e2f-32021f0696bd.h5
gds,false,1048576,3.774874e+07,4096,4096,4096,5.140918e-03,2.546572e-03,7.342801e+09,1.482335e+10,dat/48407f50-5ebe-4591-ac2d-1e7ed2484d08.h5
gds,false,2097152,7.549747e+07,4096,4096,4096,9.178792e-03,5.030230e-03,8.225208e+09,1.500875e+10,dat/a62c8dba-00eb-4153-8386-36251cbe1d50.h5
gds,false,4194304,1.509949e+08,4096,4096,4096,1.973493e-02,1.023566e-02,7.651150e+09,1.475185e+10,dat/f50b7423-6ee2-4063-8906-6afa3e4685b1.h5
gds,false,8388608,3.019899e+08,4096,4096,4096,3.688746e-02,1.982428e-02,8.186790e+09,1.523334e+10,dat/731ab24a-9b3a-42cc-8094-29bcefe3de7d.h5
gds,false,16777216,6.039798e+08,4096,4096,4096,7.181926e-02,3.954011e-02,8.409719e+09,1.527512e+10,dat/8085aebe-2cd4-4161-9745-eff13ccf5426.h5
gds,false,33554432,1.207960e+09,4096,4096,4096,1.235806e-01,7.716965e-02,9.774672e+09,1.565330e+10,dat/fdccc7a7-45ce-4555-8883-555113410113.h5
gds,false,67108864,2.415919e+09,4096,4096,4096,2.469270e-01,1.545587e-01,9.783941e+09,1.563108e+10,dat/acaf19be-88d7-4474-9170-21f244647735.h5
gds,false,134217728,4.831838e+09,4096,4096,4096,4.348556e-01,3.058123e-01,1.111136e+10,1.580001e+10,dat/9eb6b586-47e7-4905-9000-1f571984af07.h5
sec2,false,1024,3.686400e+04,4096,4096,4096,7.270400e-05,5.600000e-05,5.070423e+08,6.582857e+08,dat/8f7d627d-1c69-495e-9111-1aff9bf5cd7d.h5
sec2,false,2048,7.372800e+04,4096,4096,4096,8.579300e-05,5.824000e-05,8.593708e+08,1.265934e+09,dat/67f15583-940d-46fc-b7a6-d729c65ac1d7.h5
sec2,false,4096,1.474560e+05,4096,4096,4096,1.074570e-04,6.643200e-05,1.372233e+09,2.219653e+09,dat/e64553d1-032c-4c50-8424-1b66f7bf371e.h5
sec2,false,8192,2.949120e+05,4096,4096,4096,1.285450e-04,7.715200e-05,2.294232e+09,3.822480e+09,dat/64a6fa97-a11c-4088-a8d6-f01daec8b0c1.h5
sec2,false,16384,5.898240e+05,4096,4096,4096,1.640970e-04,9.072000e-05,3.594362e+09,6.501587e+09,dat/189e73d3-2ecc-4f0c-ae6d-1d1df9ffadd6.h5
