VFD,skip,N,data size [byte],copy buffer size [byte],file block size [byte],memory boundary [byte],latency (write) [s],latency (read) [s],bandwidth (write) [byte/s],bandwidth (read) [byte/s],filename
sec2,false,1024,3.686400e+04,16777216,4096,4096,4.662400e-05,3.171200e-05,7.906658e+08,1.162462e+09,dat/65a771e3-ffd2-4655-88f1-9f5edf6c6c2e.h5
sec2,false,2048,7.372800e+04,16777216,4096,4096,6.464000e-05,3.385600e-05,1.140594e+09,2.177694e+09,dat/d6cfd07f-1967-4b82-a257-a93da8aee900.h5
sec2,false,4096,1.474560e+05,16777216,4096,4096,7.712000e-05,4.249600e-05,1.912033e+09,3.469880e+09,dat/5a522869-5c7e-4ab3-9f28-818ede1900c9.h5
sec2,false,8192,2.949120e+05,16777216,4096,4096,1.013120e-04,5.411200e-05,2.910929e+09,5.450030e+09,dat/209e2acc-e1b6-40e9-9f65-b004fe094a89.h5
sec2,false,16384,5.898240e+05,16777216,4096,4096,1.382090e-04,8.278400e-05,4.267624e+09,7.124855e+09,dat/17a10ce5-5e8d-449c-9812-8c08b97d3a1c.h5
sec2,false,32768,1.179648e+06,16777216,4096,4096,2.138570e-04,1.422080e-04,5.516060e+09,8.295230e+09,dat/8acc39e6-af4e-457c-b3f7-d6bebb491b38.h5
sec2,false,65536,2.359296e+06,16777216,4096,4096,3.726100e-04,2.807050e-04,6.331811e+09,8.404895e+09,dat/bfa9b50d-139c-4caf-8ff6-8751f0b6b74c.h5
sec2,false,131072,4.718592e+06,16777216,4096,4096,6.896340e-04,5.193620e-04,6.842168e+09,9.085362e+09,dat/dc380ea5-d559-4aee-a76f-97cd331b7855.h5
sec2,false,262144,9.437184e+06,16777216,4096,4096,1.309541e-03,9.906910e-04,7.206482e+09,9.525860e+09,dat/c10836db-2bb4-4021-a9ac-dc9f4d6c16d2.h5
sec2,false,524288,1.887437e+07,16777216,4096,4096,2.497513e-03,1.965223e-03,7.557265e+09,9.604186e+09,dat/8f343e95-f7d6-4159-9a5c-2d51334f465c.h5
sec2,false,1048576,3.774874e+07,16777216,4096,4096,5.018737e-03,3.948653e-03,7.521561e+09,9.559902e+09,dat/6636b354-f360-4028-8a25-dd535cb437d9.h5
sec2,false,2097152,7.549747e+07,16777216,4096,4096,1.088103e-02,8.358844e-03,6.938450e+09,9.032047e+09,dat/aa6cc92a-9c65-4849-aa66-2dd56d08148b.h5
sec2,false,4194304,1.509949e+08,16777216,4096,4096,2.275713e-02,1.751622e-02,6.635061e+09,8.620294e+09,dat/db7e13c7-f6d3-4453-81ce-c1412ef004d4.h5
sec2,false,8388608,3.019899e+08,16777216,4096,4096,4.650028e-02,3.534812e-02,6.494367e+09,8.543309e+09,dat/081e1bf5-7dfc-4497-bf00-46cf900e956f.h5
sec2,false,16777216,6.039798e+08,16777216,4096,4096,9.522173e-02,7.050391e-02,6.342878e+09,8.566613e+09,dat/9acbf6fb-9e80-4852-89ac-0e7ed5375a1f.h5
sec2,false,33554432,1.207960e+09,16777216,4096,4096,1.557640e-01,1.397692e-01,7.755061e+09,8.642528e+09,dat/6fe9aa1e-731a-4740-94b8-b859ac78049e.h5
sec2,false,67108864,2.415919e+09,16777216,4096,4096,2.821951e-01,2.553218e-01,8.561165e+09,9.462251e+09,dat/59a0922e-41d3-486c-a082-64212c1a57ff.h5
sec2,false,134217728,4.831838e+09,16777216,4096,4096,6.264450e-01,4.871865e-01,7.713109e+09,9.917841e+09,dat/bd0d5991-57e7-418b-b171-bb492aee2c34.h5
gds-native,false,1024,3.686400e+04,16777216,4096,4096,3.180170e-04,2.394250e-04,1.159183e+08,1.539689e+08,dat/74d1072d-90a0-4424-801e-adbd75c03313.h5
gds-native,false,2048,7.372800e+04,16777216,4096,4096,2.945930e-04,2.182080e-04,2.502707e+08,3.378795e+08,dat/f1254041-9962-4901-8ff8-ab9454e22afb.h5
gds-native,false,4096,1.474560e+05,16777216,4096,4096,2.900490e-04,2.111050e-04,5.083831e+08,6.984960e+08,dat/c50eb3b1-1779-45e4-af10-77be4a2ce471.h5
gds-native,false,8192,2.949120e+05,16777216,4096,4096,3.022090e-04,2.549770e-04,9.758545e+08,1.156622e+09,dat/b6c4d33b-6ea5-4d35-8162-8ee9b52956eb.h5
gds-native,false,16384,5.898240e+05,16777216,4096,4096,3.532810e-04,2.855370e-04,1.669560e+09,2.065666e+09,dat/62a5d361-b95e-48b1-ad53-32a9d3f4e764.h5
gds-native,false,32768,1.179648e+06,16777216,4096,4096,4.439060e-04,3.372810e-04,2.657427e+09,3.497523e+09,dat/24462c13-eb99-431c-b4ce-d25282fff115.h5
gds-native,false,65536,2.359296e+06,16777216,4096,4096,5.996500e-04,5.242900e-04,3.934455e+09,4.499983e+09,dat/3de3b3b9-0d81-4d64-af4b-5c76276116d7.h5
gds-native,false,131072,4.718592e+06,16777216,4096,4096,9.237160e-04,7.739550e-04,5.108271e+09,6.096727e+09,dat/61537bb1-a305-47c3-9ca3-7e5e6c418f7b.h5
gds-native,false,262144,9.437184e+06,16777216,4096,4096,1.549413e-03,1.372197e-03,6.090812e+09,6.877426e+09,dat/caec8d97-4834-4caa-b776-22640fb8a1dd.h5
gds-native,false,524288,1.887437e+07,16777216,4096,4096,2.817930e-03,2.628552e-03,6.697955e+09,7.180519e+09,dat/acb88009-01a6-4a6e-8d47-aa8466683f6e.h5
gds-native,false,1048576,3.774874e+07,16777216,4096,4096,5.319826e-03,4.994545e-03,7.095859e+09,7.557993e+09,dat/b14f16fe-7cd7-4499-b9ce-9360b7598726.h5
gds-native,false,2097152,7.549747e+07,16777216,4096,4096,1.134077e-02,9.629216e-03,6.657172e+09,7.840459e+09,dat/be03d031-f92a-471e-ba83-3cdfcf6398c0.h5
gds-native,false,4194304,1.509949e+08,16777216,4096,4096,2.311733e-02,1.871827e-02,6.531679e+09,8.066715e+09,dat/a390ef02-e756-48e8-8497-0e8de2448b47.h5
gds-native,false,8388608,3.019899e+08,16777216,4096,4096,4.853581e-02,3.651970e-02,6.222002e+09,8.269232e+09,dat/7af18c63-bae2-4e5d-afc2-6c563acb08f4.h5
gds-native,false,16777216,6.039798e+08,16777216,4096,4096,9.544013e-02,7.125729e-02,6.328363e+09,8.476042e+09,dat/db57a0b6-dbd5-4d45-844f-4721d9694ff1.h5
gds-native,false,33554432,1.207960e+09,16777216,4096,4096,1.586187e-01,1.151133e-01,7.615493e+09,1.049365e+10,dat/d8226271-4e5d-42b0-b106-79fd78370d4c.h5
gds-native,false,67108864,2.415919e+09,16777216,4096,4096,3.171415e-01,2.028792e-01,7.617795e+09,1.190817e+10,dat/aae39150-e6d6-402c-9119-cbae5881f41b.h5
gds-native,false,134217728,4.831838e+09,16777216,4096,4096,6.235635e-01,4.865999e-01,7.748750e+09,9.929798e+09,dat/72918f63-c048-473e-be4b-b3e3c6680213.h5
gds-compat,false,1024,3.686400e+04,16777216,4096,4096,2.518730e-04,2.261770e-04,1.463595e+08,1.629874e+08,dat/3b314749-2075-4240-ab57-2eacda326779.h5
gds-compat,false,2048,7.372800e+04,16777216,4096,4096,2.756490e-04,2.506250e-04,2.674706e+08,2.941766e+08,dat/485a874f-9f90-4ba7-9ce5-38ad1894309a.h5
gds-compat,false,4096,1.474560e+05,16777216,4096,4096,3.005770e-04,2.462090e-04,4.905765e+08,5.989058e+08,dat/6c4b7d7a-c44f-441a-8eda-8a74d8c90519.h5
gds-compat,false,8192,2.949120e+05,16777216,4096,4096,2.972170e-04,2.325450e-04,9.922447e+08,1.268193e+09,dat/760e7279-483a-483b-90c3-993d2993dced.h5
gds-compat,false,16384,5.898240e+05,16777216,4096,4096,3.774410e-04,3.064650e-04,1.562692e+09,1.924605e+09,dat/366f70be-e4bd-489e-9996-31d08f7ab5c5.h5
gds-compat,false,32768,1.179648e+06,16777216,4096,4096,4.639690e-04,3.549450e-04,2.542515e+09,3.323467e+09,dat/efe6b3dc-80e3-45de-91fe-8442f28425bd.h5
gds-compat,false,65536,2.359296e+06,16777216,4096,4096,6.250260e-04,4.991380e-04,3.774717e+09,4.726741e+09,dat/f115eb5d-58ec-42ab-8cc9-48c1a1bd3099.h5
gds-compat,false,131072,4.718592e+06,16777216,4096,4096,9.140190e-04,7.680990e-04,5.162466e+09,6.143208e+09,dat/29101ae7-fcf4-4126-873f-9baa8fe9753c.h5
gds-compat,false,262144,9.437184e+06,16777216,4096,4096,1.576741e-03,1.423237e-03,5.985247e+09,6.630789e+09,dat/b468f77d-29ae-461b-97b1-88f993f7b572.h5
gds-compat,false,524288,1.887437e+07,16777216,4096,4096,2.836937e-03,2.692969e-03,6.653080e+09,7.008758e+09,dat/4af68067-ea46-4a6f-bc68-118cc0211f87.h5
gds-compat,false,1048576,3.774874e+07,16777216,4096,4096,5.666579e-03,4.984689e-03,6.661645e+09,7.572937e+09,dat/ba3f3065-83da-4e4a-9536-3783f6744040.h5
gds-compat,false,2097152,7.549747e+07,16777216,4096,4096,1.123197e-02,9.616001e-03,6.721657e+09,7.851234e+09,dat/082b26a4-2a5c-4654-97f4-3655b7ff846d.h5
gds-compat,false,4194304,1.509949e+08,16777216,4096,4096,2.309573e-02,1.847917e-02,6.537787e+09,8.171091e+09,dat/4c48e8c8-6640-4dee-b338-551d8af7aebe.h5
gds-compat,false,8388608,3.019899e+08,16777216,4096,4096,4.732544e-02,3.598816e-02,6.381132e+09,8.391369e+09,dat/4a6c6b92-7846-4dd4-aa5c-2e691a1bb393.h5
gds-compat,false,16777216,6.039798e+08,16777216,4096,4096,9.336758e-02,7.137832e-02,6.468838e+09,8.461669e+09,dat/54e0b9f2-74d7-4cb0-9f53-445719433edc.h5
gds-compat,false,33554432,1.207960e+09,16777216,4096,4096,1.559741e-01,1.152696e-01,7.744618e+09,1.047943e+10,dat/5b4440cd-b0ff-4735-81e6-3ccfa91861be.h5
gds-compat,false,67108864,2.415919e+09,16777216,4096,4096,3.164617e-01,2.578103e-01,7.634159e+09,9.370918e+09,dat/d07095ab-b725-4161-955e-e0e096ab784d.h5
gds-compat,false,134217728,4.831838e+09,16777216,4096,4096,6.235412e-01,4.863018e-01,7.749027e+09,9.935883e+09,dat/40bebe64-ec37-47e0-a62c-e109d01e6576.h5
